col,line,letter,s_read_mm,z_mm,turn,r_mm,x_wound,y_wound,x_crushed,y_crushed
1.0000,23.0000,5.0000,168.7200,87.7750,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,23.0000,6.0000,172.8800,87.7750,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,23.0000,7.0000,177.0400,87.7750,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,24.0000,1.0000,152.0800,90.5650,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,24.0000,2.0000,156.2400,90.5650,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,24.0000,3.0000,160.4000,90.5650,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,24.0000,4.0000,164.5600,90.5650,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,24.0000,5.0000,168.7200,90.5650,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,24.0000,6.0000,172.8800,90.5650,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,24.0000,7.0000,177.0400,90.5650,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,25.0000,1.0000,152.0800,93.3550,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,25.0000,2.0000,156.2400,93.3550,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,25.0000,3.0000,160.4000,93.3550,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,25.0000,4.0000,164.5600,93.3550,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,25.0000,5.0000,168.7200,93.3550,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,25.0000,6.0000,172.8800,93.3550,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,25.0000,7.0000,177.0400,93.3550,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,26.0000,1.0000,152.0800,96.1450,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,26.0000,2.0000,156.2400,96.1450,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,26.0000,3.0000,160.4000,96.1450,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,26.0000,4.0000,164.5600,96.1450,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,26.0000,5.0000,168.7200,96.1450,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,26.0000,6.0000,172.8800,96.1450,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,26.0000,7.0000,177.0400,96.1450,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,27.0000,1.0000,152.0800,98.9350,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,27.0000,2.0000,156.2400,98.9350,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,27.0000,3.0000,160.4000,98.9350,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,27.0000,4.0000,164.5600,98.9350,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,27.0000,5.0000,168.7200,98.9350,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,27.0000,6.0000,172.8800,98.9350,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,27.0000,7.0000,177.0400,98.9350,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,28.0000,1.0000,152.0800,101.7250,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,28.0000,2.0000,156.2400,101.7250,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,28.0000,3.0000,160.4000,101.7250,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,28.0000,4.0000,164.5600,101.7250,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,28.0000,5.0000,168.7200,101.7250,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,28.0000,6.0000,172.8800,101.7250,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,28.0000,7.0000,177.0400,101.7250,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,29.0000,1.0000,152.0800,104.5150,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,29.0000,2.0000,156.2400,104.5150,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,29.0000,3.0000,160.4000,104.5150,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,29.0000,4.0000,164.5600,104.5150,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,29.0000,5.0000,168.7200,104.5150,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,29.0000,6.0000,172.8800,104.5150,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,29.0000,7.0000,177.0400,104.5150,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,30.0000,1.0000,152.0800,107.3050,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,30.0000,2.0000,156.2400,107.3050,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,30.0000,3.0000,160.4000,107.3050,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,30.0000,4.0000,164.5600,107.3050,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,30.0000,5.0000,168.7200,107.3050,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,30.0000,6.0000,172.8800,107.3050,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,30.0000,7.0000,177.0400,107.3050,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,31.0000,1.0000,152.0800,110.0950,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,31.0000,2.0000,156.2400,110.0950,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,31.0000,3.0000,160.4000,110.0950,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,31.0000,4.0000,164.5600,110.0950,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,31.0000,5.0000,168.7200,110.0950,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,31.0000,6.0000,172.8800,110.0950,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,31.0000,7.0000,177.0400,110.0950,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,32.0000,1.0000,152.0800,112.8850,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,32.0000,2.0000,156.2400,112.8850,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,32.0000,3.0000,160.4000,112.8850,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,32.0000,4.0000,164.5600,112.8850,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,32.0000,5.0000,168.7200,112.8850,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,32.0000,6.0000,172.8800,112.8850,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,32.0000,7.0000,177.0400,112.8850,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,33.0000,1.0000,152.0800,115.6750,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,33.0000,2.0000,156.2400,115.6750,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,33.0000,3.0000,160.4000,115.6750,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,33.0000,4.0000,164.5600,115.6750,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,33.0000,5.0000,168.7200,115.6750,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,33.0000,6.0000,172.8800,115.6750,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,33.0000,7.0000,177.0400,115.6750,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,34.0000,1.0000,152.0800,118.4650,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,34.0000,2.0000,156.2400,118.4650,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,34.0000,3.0000,160.4000,118.4650,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,34.0000,4.0000,164.5600,118.4650,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,34.0000,5.0000,168.7200,118.4650,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,34.0000,6.0000,172.8800,118.4650,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,34.0000,7.0000,177.0400,118.4650,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,35.0000,1.0000,152.0800,121.2550,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,35.0000,2.0000,156.2400,121.2550,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,35.0000,3.0000,160.4000,121.2550,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,35.0000,4.0000,164.5600,121.2550,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,35.0000,5.0000,168.7200,121.2550,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,35.0000,6.0000,172.8800,121.2550,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,35.0000,7.0000,177.0400,121.2550,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,36.0000,1.0000,152.0800,124.0450,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,36.0000,2.0000,156.2400,124.0450,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,36.0000,3.0000,160.4000,124.0450,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
